url,Views,Date_Uploaded,Likes,Dislikes
https://www.youtube.com/watch?v=0BITgGt7B98,"782,789 views","Jul 31, 2020",60K,1.2K
https://www.youtube.com/watch?v=toQbSRrMX9o,"2,996,511 views","Jul 31, 2020",173K,2.2K
https://www.youtube.com/watch?v=Qw1wGohtfRE,344 watching now,Started streaming 22 hours ago,3.1K,588
https://www.youtube.com/watch?v=hJtpTHexrds,"661,496 views","Jul 31, 2020",33K,598
https://www.youtube.com/watch?v=mUy4fdAhOME,"607,798 views","Jul 31, 2020",53K,259
https://www.youtube.com/watch?v=k1iIbdLQF0c,"113,533 views","Jul 30, 2020",8.6K,310
https://www.youtube.com/watch?v=IAx-m1Z8L1c,"26,286 views","Jul 31, 2020",2.3K,26
https://www.youtube.com/watch?v=erynuZ9yJBs,"12,315 views","Jul 31, 2020",1.1K,15
https://www.youtube.com/watch?v=ardRp2x0D_E,"16,391,830 views","Jun 26, 2020",629K,558K
https://www.youtube.com/watch?v=fmLAt4Uf_Q0,"68,617 views","Jul 29, 2020",3.2K,368
https://www.youtube.com/watch?v=eN6AYHAT8UM,"297,051,634 views","Nov 16, 2019",2.7M,341K
https://www.youtube.com/watch?v=BBAyRBTfsOU,"909,814,825 views","Apr 6, 2019",7.2M,541K
https://www.youtube.com/watch?v=ftMnmPC82qM,169 watching now,"Started streaming on Jun 28, 2020",95K,4.5K
https://www.youtube.com/watch?v=hVCYwwFwGEE,"120,202,512 views","Mar 11, 2019",625K,32K
https://www.youtube.com/watch?v=TSIv8AdQ8kI,"333,937 views","Jul 28, 2020",5.2K,560
https://www.youtube.com/watch?v=F8AkDqpatX0,"2,082,797 views","Jul 25, 2020",21K,4.9K
https://www.youtube.com/watch?v=ePkGwBTkUXs,"1,344,418 views","Jul 20, 2020",14K,4.1K
https://www.youtube.com/watch?v=Not-wdJvG-Y,"1,203,699 views","Jul 29, 2020",27K,5.5K
https://www.youtube.com/watch?v=C-NPvbU1V1U,"502,172 views","Premiered Jul 29, 2020",14K,463
